 # | obj tags |obj count|               raw id                |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     spec. type     |#bib |#not
338|d         |        1|table:Star= LHS 318                  |LP 319-53                          |LM*|11 56 54.8694730566 +26 39 56.429961383|esdM1               |  23 |   0
339|d         |        1|table:Star= HD 103877                |HD 103877                          |SB*|11 57 42.3942077112 +17 28 04.210417560|kA7hF5mF5(II)       |  52 |   0
340|d         |        1|table:Star= HD 103932                |HD 103932                          |PM*|11 57 56.2063477236 -27 42 25.366588848|K4+V                | 151 |   0
341|d         |        1|table:Star= HD 104307                |HD 104307                          |*  |12 00 42.2218184568 -21 50 14.990221068|K2III               |  36 |   0
342|d         |        1|table:Star= LHS 320                  |G 11-35                            |LM*|12 02 33.6593316712 +08 25 50.730959800|sdM2.0              |  31 |   0
343|d         |        1|table:Star= HE 1201-1512             |HE 1201-1512                       |Pe*|12 03 37.0449862176 -15 29 33.236334924|CEMP-no             |  19 |   0
344|d         |        1|table:Star= HD 104893                |HD 104893                          |Pe*|12 04 43.1268220056 -29 11 05.196883704|F8/G2(e)            |  61 |   0
345|d         |        1|table:Star= HE 1204-0744             |HE 1204-0744                       |*  |12 06 46.2 -08 00 43                   |~                   |   5 |   0
346|d         |        1|table:Star= HD 105262                |HD 105262                          |pA*|12 07 10.8254657184 +12 59 07.679272308|B9                  |  62 |   0
347|d         |        1|table:Star= HE 1207-3108             |HE 1207-3108                       |Pe*|12 09 53.9936676462 -31 25 10.567641369|~                   |  15 |   0
348|d         |        1|table:Star= NGC 4147 230             |NGC 4147 230                       |*  |12 10 04.0521748920 +18 32 53.187305424|~                   |  16 |   0
349|d         |        1|table:Star= HD 105740                |HD 105740                          |PM*|12 10 16.9641290928 +16 22 13.349248932|G9III               |  41 |   0
350|d         |        1|table:Star= G012-021                 |HD 106038                          |PM*|12 12 01.3688687080 +13 15 40.618559661|F6wl                | 182 |   0
351|d         |        1|table:Star= HD 106304                |HD 106304                          |PM*|12 13 53.5605552696 -40 52 24.673044432|B9V                 |  45 |   0
352|d         |        1|table:Star= CD-28 9374               |CD-28 9374                         |PM*|12 14 29.7440794680 -29 35 55.675768848|~                   |  43 |   0
353|d         |        2|table:Star= G013-035                 |HD 108177                          |PM*|12 25 34.9568267745 +01 17 02.259553591|F0V                 | 243 |   0
354|d         |        1|table:Star= HD 108564                |HD 108564                          |PM*|12 28 19.1204752529 -16 54 39.777541659|K5Vmetalweak        |  97 |   0
355|d         |        1|table:Star= HD 108915                |HD 108915                          |*  |12 30 48.9321272208 +12 29 12.237671580|G9IV                |  22 |   0
356|d         |        1|table:Star= HD 109307                |* 22 Com                           |*  |12 33 34.2193153104 +24 16 58.739975472|A4Vm                | 145 |   0
357|d         |        1|table:Star= HD 109443                |HD 109443                          |PM*|12 34 46.7235514992 -23 28 32.258882496|F0V                 |  28 |   0
358|d         |        1|table:Star= HD 109871                |HD 109871                          |*  |12 38 13.0208383224 +01 58 47.589744144|K4III               |  19 |   0
359|d         |        1|table:Star= HD 110184                |HD 110184                          |Pe*|12 40 14.0781612216 +08 31 38.057301300|KIIvw               | 135 |   0
360|d         |        1|table:Star= V Crv                    |V* V Crv                           |Mi*|12 40 32.3071644384 -17 38 51.178564032|M2                  |  18 |   0
361|d         |        1|table:Star= BD+03 2688               |BD+03 2688                         |PM*|12 44 07.7483908512 +02 44 37.936148784|M0                  |  14 |   0
362|d         |        1|table:Star= HD 110885                |HD 110885                          |*  |12 45 19.2564778992 +01 03 21.095763876|F3V                 |  53 |   0
363|d         |        1|table:Star= HD 111515                |HD 111515                          |PM*|12 49 44.8284792188 +01 11 16.934631148|G6/8V               | 132 |   0
364|d         |        1|table:Star= HD 111631                |HD 111631                          |PM*|12 50 43.5668194245 -00 46 05.267733737|M0V                 | 215 |   0
365|d         |        1|table:Star= HD 111721                |HD 111721                          |RG*|12 51 25.1948519215 -13 29 28.166947989|G6V                 | 155 |   0
366|d         |        1|table:Star= HD 111786                |V* MO Hya                          |dS*|12 51 57.8968126608 -26 44 17.772380448|F0VkA1mA1_lB        | 121 |   0
367|d         |        1|table:Star= LHS 343                  |G 61-21                            |PM*|12 56 23.7399278898 +15 41 44.593399644|sdK                 |  38 |   0
368|d         |        1|table:Star= HD 112374                |V* LN Hya                          |pA*|12 56 30.1302499344 -26 27 37.047715704|F3Ia                | 112 |   0
369|x         |        1|GD 153                               |GD 153                             |WD*|12 57 02.3224909560 +22 01 52.634778240|DA1.2               | 341 |   0
370|d         |        1|table:Star= HD 113002                |HD 113002                          |PM*|13 00 28.7493480816 +19 37 55.632707760|G2II-III            |  25 |   0
371|d         |        1|table:Star= Kelu 1                   |NAME Kelu-1                        |BD*|13 05 40.1642434199 -25 41 05.712165150|L2+L3.5             | 245 |   0
372|d         |        1|table:Star= HD 114606                |HD 114606                          |PM*|13 11 21.4027999855 +09 37 33.538594491|G4                  | 124 |   0
373|d         |        1|table:Star= HD 114960                |HD 114960                          |PM*|13 13 57.5656668240 +01 27 23.203612764|K3.5IIIbCN0.5CH0.5  |  52 |   0
374|d         |        1|table:Star= HIP 64965                |Ross 484                           |PM*|13 18 56.7108963267 -03 04 18.065555967|sdK                 |  99 |   0
375|d         |        1|table:Star= HD 116114                |HD 116114                          |PM*|13 21 46.3079033856 -18 44 31.563482928|F0VpSrCrEu          | 132 |   0
376|d         |        1|table:Star= HD 116544                |V* IN Vir                          |RS*|13 24 24.1561749744 -02 18 54.937707948|K2III               |  60 |   0
377|d         |        1|table:Star= G063-026                 |G 63-26                            |PM*|13 24 30.5997776592 +20 27 22.094791164|sd:F                |  56 |   0
378|d         |        2|table:Star= NGC 5139 1627            |NGC 5139 1627                      |*  |13 25 57.2501606232 -47 40 24.206571840|~                   |  13 |   0
379|d         |        2|table:Star= CL* NGC 5139 SAW V1      |Cl* NGC 5139 SAW V1                |WV*|13 26 05.1727903488 -47 23 42.535739148|~                   |  51 |   0
380|d         |        2|table:Star= HD 116745                |HD 116745                          |pA*|13 26 26.3183998296 -47 16 27.350366448|A7/9                |  68 |   0
381|d         |        2|table:Star= NGC 5139 3812            |NGC 5139 3812                      |*  |13 27 26.3824384776 -47 29 16.983795372|~                   |  19 |   0
382|d         |        1|table:Star= HD 117880                |HD 117880                          |PM*|13 33 29.8062159888 -18 30 54.289275660|B9IV/V              |  99 |   0
383|d         |        1|table:Star= HD 118055                |HD 118055                          |Pe*|13 34 39.9107087448 -16 19 22.711497564|K0wF8               |  78 |   0
384|d         |        1|table:Star= HD 118100                |HD 118100                          |Er*|13 34 43.2063495866 -08 20 31.338030204|K5Ve                | 336 |   0
385|d         |        1|table:Star= HIP 66993                |L 547-159                          |PM*|13 43 46.7653408313 -35 24 15.806193040|M0V                 |  20 |   0
386|d         |        1|table:Star= HD 119802                |HD 119802                          |PM*|13 45 14.7172980360 +08 50 09.508228764|K3V                 |  49 |   0
387|d         |        1|table:Star= HD 119850                |HD 119850                          |Er*|13 45 43.7755597223 +14 53 29.471707437|M2V                 | 328 |   0
388|d         |        1|table:Star= HE 1346-0427             |HE 1346-0427                       |Pe*|13 49 25.0682496912 -04 42 14.725345572|~                   |  15 |   0
389|d         |        5|table:Star= [ABC89] Cir18            |[ABC89] Cir 18                     |C* |13 55 26.3943656369 -59 22 23.941917311|C                   |   9 |   0
390|d         |        1|table:Star= HD 122956                |HD 122956                          |PM*|14 05 13.0244442888 -14 51 25.455804480|G6IV/VwF6           | 148 |   0
391|x         |        1|CD-32 9927                           |CD-32 9927                         |*  |14 11 46.3227735768 -33 03 14.373268704|A4                  |  94 |   0
392|d         |        1|table:Star= HD 124292                |HD 124292                          |PM*|14 12 45.2383276803 -03 19 12.303384159|G8/K0V              | 126 |   0
393|d         |        1|table:Star= BD+09 2860               |BD+09 2860                         |*  |14 13 19.7440024872 +08 36 40.040730972|~                   |  45 |   0
394|d         |        1|table:Star= BD+09 2870               |BD+09 2870                         |PM*|14 16 29.9462349936 +08 27 52.952766408|KIIvw               |  66 |   0
395|d         |        1|table:Star= BD+01 2916               |BD+01 2916                         |Pe*|14 21 45.2614710696 +00 46 59.173056516|KIIvw               |  85 |   0
396|d         |        1|table:Star= HD 126053                |HD 126053                          |PM*|14 23 15.2847745835 +01 14 29.641269692|G1.5V               | 387 |   0
397|d         |        1|table:Star= HIP 70472                |LP 800-56                          |PM*|14 24 49.8608772936 -17 27 08.096957585|K7V                 |  26 |   0
398|d         |        1|table:Star= HD 126661                |* f Boo                            |PM*|14 26 27.3650870400 +19 13 36.838844688|kA7hA8mF2(III)((Sr))| 115 |   0
399|d         |        1|table:Star= HD 126778                |HD 126778                          |PM*|14 26 54.1645036200 +28 35 20.411251548|K0III               |  56 |   0
400|d         |        1|table:Star= HD 126681                |HD 126681                          |PM*|14 27 24.9094012952 -18 24 40.454425566|G3V                 | 181 |   0
401|d         |        1|table:Star= HE 1428-1950             |HE 1428-1950                       |C* |14 30 59.3926155264 -20 03 41.914188864|C                   |  15 |   0
402|d         |        1|table:Star= BD+18 2890               |BD+18 2890                         |HB*|14 32 13.4860470912 +17 25 24.289741704|~                   |  61 |   0
403|d         |        1|table:Star= IRAS 14303-1042          |V* KS Lib                          |Mi*|14 32 59.8714017888 -10 56 03.413076216|M8-9III             |  23 |   0
404|d         |        1|table:Star= HD 128429                |HD 128429                          |PM*|14 36 59.7959185153 -12 18 19.068654858|F6V                 | 122 |   0
405|d         |        1|table:Star= HD 128801                |HD 128801                          |HB*|14 38 48.0934141488 +07 54 40.351784616|B9                  |  48 |   0
406|d         |        1|table:Star= CD-26 10417              |CD-26 10417                        |** |14 39 47.0250367116 -26 41 53.048173901|K4V                 |  37 |   0
407|d         |        1|table:Star= HD 130095                |HD 130095                          |PM*|14 46 51.2128847304 -27 14 53.963045736|B9V                 |  94 |   0
408|d         |        1|table:Star= HD 130322                |HD 130322                          |PM*|14 47 32.7262287384 -00 16 53.307811560|K0V                 | 255 |   1
409|d         |        2|table:Star= BD+06 2986               |BD+06 2986                         |PM*|15 04 53.5261634600 +05 38 17.160679455|K8V                 |  91 |   0
410|d         |        2|table:Star= BD+30 2611               |BD+30 2611                         |*  |15 06 53.8282684752 +30 00 36.941373756|G8III               | 133 |   0
411|d         |        2|table:Star= HD 134063                |HD 134063                          |*  |15 07 15.4402042056 +22 33 51.695665992|G5III               |  37 |   0
412|d         |        1|table:Star= IRAS 15060+0947          |V* FV Boo                          |Mi*|15 08 25.7458537200 +09 36 18.371710980|M9III               |  60 |   0
413|d         |        1|table:Star= HD 134440                |HD 134440                          |PM*|15 10 12.9678589986 -16 27 46.522175847|K2V                 | 274 |   0
