 # | obj tags |obj count|               raw id                |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     spec. type     |#bib |#not
485|d         |        1|table:Star= OGLEII DIA BUL-SC30 0707 |MSX6C G001.5706-03.1702            |LP*|18 01 46.1441407200 -29 11 18.304863673|~                   |   5 |   0
486|d         |        1|table:Star= OGLEII DIA BUL-SC01 0235 |MSX6C G000.5814-03.8367            |Mi*|18 02 12.6407485968 -30 22 34.985427456|~                   |   5 |   0
487|d         |        1|table:Star= OGLEII DIA BUL-SC01 1821 |V* V1334 Sgr                       |Mi*|18 02 12.7565171496 -30 02 12.347183076|M6                  |  10 |   0
488|d         |        1|table:Star= BMB 3                    |BMB 3                              |AB*|18 02 45.7255733688 -30 01 12.069759612|M7                  |   9 |   0
489|d         |        1|table:Star= BMB 2                    |BMB 2                              |AB*|18 02 46.1170733472 -30 04 50.980497744|M6.5                |   6 |   0
490|d         |        1|table:Star= BMB 13                   |BMB 13                             |AB*|18 02 52.7763112152 -29 54 33.592139100|M5                  |   6 |   0
491|d         |        1|table:Star= HD 164967                |HD 164967                          |*  |18 03 21.0498320592 +08 25 09.659727624|A0                  |  20 |   0
492|d         |        1|table:Star= BMB 106                  |BMB 106                            |AB*|18 03 25.2523063992 -29 59 48.481087200|M6                  |  14 |   0
493|d         |        1|table:Star= CL* NGC 6522 ARP 4126    |[B86] 49                           |RG*|18 03 27.6631473528 -30 00 56.591911800|M1                  |   5 |   0
494|d         |        1|table:Star= CL* NGC 6522 Arp 4329    |Cl* NGC 6522 ARP 4329              |RG*|18 03 28.4320629024 -29 58 41.691364068|~                   |  31 |   0
495|d         |        2|table:Star= V5475 Sgr                |BMB 131                            |AB*|18 03 31.9171026768 -30 00 28.737245808|M6                  |  14 |   0
496|d         |        1|table:Star= CL* NGC 6522 ARP 3190    |[B86] 78                           |RG*|18 03 33.7376557152 -30 03 57.345771852|M2                  |  12 |   0
497|d         |        4|NGC 6522;NGC6522                     |NGC 6522                           |GlC|18 03 34.08 -30 02 02.3                |~                   | 502 |   0
498|d         |        1|table:Star= CL* NGC 6522 ARP 3213    |[B86] 84                           |** |18 03 35.143704 -30 05 25.02708        |M5                  |   7 |   0
499|d         |        1|table:Star= 2MASS J18033716-2954227  |2MASS J18033716-2954227            |*  |18 03 37.1625416808 -29 54 22.692610440|K                   |  14 |   0
500|d         |        2|table:Star= CL* NGC 6522 ARP 1021    |[B86] 103                          |RG*|18 03 39.6021471744 -29 58 23.808780660|M1                  |   9 |   0
501|d         |        1|table:Star= CL* NGC 6522 ARP 1073    |[B86] 120                          |RG*|18 03 42.7524074568 -29 58 59.600858124|M3                  |  11 |   0
502|d         |        1|table:Star= BMB 162                  |BMB 162                            |AB*|18 03 43.0393884552 -30 07 54.136837092|M6.5                |   8 |   0
503|d         |        1|table:Star= [B86] 133                |[B86] 133                          |AB*|18 03 45.4631531040 -30 03 00.703106928|M4                  |   8 |   0
504|d         |        1|table:Star= BMB 245                  |BMB 245                            |AB*|18 04 06.3889305720 -30 10 49.779291396|M5                  |   7 |   0
505|d         |        1|table:Star= 2MASS J18041187-3006214  |UCAC4 300-176632                   |RG*|18 04 11.8808998320 -30 06 21.337775388|~                   |   9 |   0
506|d         |        2|table:Star= BMB 286                  |V* V1499 Sgr                       |AB*|18 04 22.4509889352 -30 00 53.333577684|M6                  |  11 |   0
507|d         |        1|table:Star= BMB 289                  |BMB 289                            |AB*|18 04 22.6543587336 -29 54 51.837139440|M9                  |  19 |   0
508|d         |        1|table:Star= BMB 300                  |BMB 300                            |AB*|18 04 27.1978143480 -30 02 57.467083812|M6.5                |   6 |   0
509|d         |        1|table:Star= HD 165195                |V* V2564 Oph                       |LP?|18 04 40.0713763656 +03 46 44.716990584|F6/7V               | 252 |   0
510|d         |        1|table:Star= OGLEII DIA BUL-SC33 4149 |2MASS J18053940-2830287            |LP*|18 05 39.4122736512 -28 30 28.751342652|~                   |   4 |   0
511|d         |        1|table:Star= OGLEII DIA BUL-SC36 2158 |IRAS 18027-2812                    |Mi*|18 05 52.6761450072 -28 11 36.668279256|~                   |   5 |   0
512|d         |        1|table:Star= OGLEII DIA BUL-SC33 0357 |MSX6C G001.9385-04.0069            |Mi*|18 05 56.3639213664 -29 16 37.822431252|~                   |   6 |   0
513|d         |        1|table:Star= HD 165438                |HD 165438                          |RG*|18 06 15.1971057528 -04 45 04.508774964|K1IV                |  72 |   0
514|d         |        1|table:Star= OGLEII DIA BUL-SC19 2302 |MSX6C G003.8837-03.3490            |Mi*|18 07 35.2086527088 -27 15 34.211684916|~                   |   6 |   0
515|d         |        1|table:Star= OGLEII DIA BUL-SC06 2525 |OGLE BLG-LPV-215008                |Mi*|18 07 51.2950581768 -31 49 01.712175204|~                   |   5 |   0
516|d         |        2|table:Star= OGLEII DIA BUL-SC19 2332 |Mis V0805                          |LP*|18 07 57.7387800720 -27 15 51.717950892|~                   |   7 |   0
517|d         |        1|table:Star= HD 165887                |HD 165887                          |** |18 08 07.2389644176 +02 13 07.192566300|A2/3V               |  15 |   0
518|d         |        1|table:Star= 2MASS J18080765-3142020  |OGLE BLG-LPV-215991                |Mi*|18 08 07.6555034952 -31 42 02.142856944|~                   |   4 |   0
519|d         |        1|table:Star= OGLEII DIA BUL-SC19 2948 |OGLE BLG-LPV-216482                |Mi*|18 08 16.2045474288 -27 08 52.689588144|~                   |   4 |   0
520|d         |        1|table:Star= 2MASS J18083220-3201531  |OGLE BLG-LPV-217362                |Mi*|18 08 32.2081893408 -32 01 53.240417796|~                   |   6 |   0
521|d         |        2|table:Star= OGLE 204664c4            |UCAC2 18505584                     |*  |18 09 34.7956223016 -31 38 51.308523456|~                   |   6 |   0
522|d         |        1|table:Star= HD 166161                |HD 166161                          |PM*|18 09 40.6841536776 -08 46 45.603012144|G0wF0               | 136 |   0
523|d         |        1|table:Star= HD 166283                |HD 166283                          |*  |18 09 44.7755055264 +04 36 11.227757868|A1V                 |  18 |   0
524|d         |        1|table:Star= XZ Her                   |V* XZ Her                          |Mi*|18 10 03.6140017536 +18 06 25.414335468|M0                  |  28 |   0
525|d         |        1|table:Star= OGLEII DIA BUL-SC16 1428 |MSX6C G004.8770-03.5420            |Mi*|18 10 29.5367994552 -26 28 59.984991912|~                   |   5 |   0
526|d         |        2|table:Star= HD 166991                |HD 166991                          |*  |18 13 03.8306501688 +02 58 50.089539576|A1V                 |  21 |   0
527|d         |        1|table:Star= HD 167278                |HD 167278                          |** |18 14 33.65346 +00 10 32.9342          |F5V                 |  72 |   1
528|d         |        2|table:Star= OGLEII DIA BUL-SC13 0324 |MSX6C G007.4431-03.7748            |Mi*|18 16 47.5203064152 -24 20 32.383619592|~                   |   7 |   0
529|d         |        1|table:Star= OGLEII DIA BUL-SC13 1542 |MSX6C G007.7852-03.6739            |LP*|18 17 06.4638501696 -23 59 35.658093840|~                   |   5 |   0
530|d         |        1|table:Star= HD 167946                |HD 167946                          |*  |18 17 14.3686357968 +05 45 12.901832820|A0                  |  19 |   0
531|d         |        2|table:Star= RY CrA                   |V* RY CrA                          |Mi*|18 21 58.0701614184 -44 53 59.486610768|M4                  |  15 |   0
532|d         |        1|table:Star= HD 169032                |HD 169032                          |*  |18 22 27.0120214128 +07 13 34.686925140|A2                  |  15 |   0
533|d         |        1|table:Star= OGLEII DIA BUL-SC08 1687 |MSX6C G010.5795-03.8208            |LP*|18 23 20.2599470688 -21 35 53.985275412|~                   |   4 |   0
534|d         |        1|table:Star= HD 170413                |HD 170413                          |*  |18 29 16.4787856608 +00 19 23.224491552|K0III               |   9 |   0
535|d         |        1|table:Star= HD 170756                |V* AC Her                          |RV*|18 30 16.2373118976 +21 52 00.599340000|F4Ibp               | 326 |   0
536|d         |        1|table:Star= HD 170783                |HD 170783                          |Be*|18 31 04.4487386976 +04 37 37.037375040|B5                  |  32 |   0
537|d         |        1|table:Star= HD 170899                |HD 170899                          |*  |18 31 26.1669148368 +08 01 38.142215832|G0                  |  24 |   0
538|d         |        1|table:Star= HD 170820                |HD 170820                          |SB*|18 32 13.1080081656 -19 07 26.333290848|G9IICN1Hdel1        |  77 |   0
539|d         |        1|table:Star= HD 171234                |HD 171234                          |dS*|18 33 31.7411728464 +01 54 12.842590752|A5IV                |  17 |   0
540|d         |        1|table:Star= HD 171367                |HD 171367                          |PM*|18 34 25.2711913584 +03 49 50.649982356|K1IV                |  10 |   0
541|d         |        1|table:Star= 2MASS J18351420-3438060  |2MASS J18351420-3438060            |RG*|18 35 14.2051301952 -34 38 06.075845268|~                   |   5 |   0
542|d         |        1|table:Star= 2MASS J18351799-3428093  |2MASS J18351799-3428093            |RG*|18 35 17.9877121608 -34 28 09.411757896|~                   |   5 |   0
543|d         |        1|table:Star= 2MASS J18352206-3429112  |2MASS J18352206-3429112            |RG*|18 35 22.0561720848 -34 29 11.242841100|~                   |   5 |   0
544|d         |        2|table:Star= 2MASS J18352834-3444085  |2MASS J18352834-3444085            |RG*|18 35 28.3471407984 -34 44 08.617370388|~                   |   6 |   0
545|d         |        1|table:Star= 2MASS J18355679-3434481  |2MASS J18355679-3434481            |RG*|18 35 56.7948507264 -34 34 48.152549892|~                   |   5 |   0
546|d         |        3|table:Star= HD 171496                |HD 171496                          |*  |18 36 07.4934525456 -24 26 11.309788572|G8IV                |  70 |   1
547|d         |        1|table:Star= HD 172230                |HD 172230                          |*  |18 38 54.9539035008 +06 16 14.814039396|kA5hA8mF2           |  25 |   0
548|d         |        1|table:Star= HD 172365                |HD 172365                          |*  |18 39 36.8773335936 +05 15 51.448369824|F8II                | 122 |   0
549|d         |        1|table:Star= HD 172472                |HD 172472                          |*  |18 40 04.2789753864 +07 45 46.470227976|K2                  |  13 |   0
550|d         |        1|table:Star= HD 172522                |HD 172522                          |*  |18 40 22.6078426728 +08 52 06.433621320|A2III               |  17 |   0
551|d         |        1|table:Star= HD 172506                |HD 172506                          |*  |18 40 31.3024428576 +02 41 04.001727804|F0V                 |  27 |   0
552|d         |        3|table:Star= HD 172488                |HD 172488                          |*  |18 40 48.0509874696 -08 43 07.690358568|B0Iab/b             |  71 |   0
553|d         |        1|table:Star= HD 173073                |HD 173073                          |*  |18 43 26.4262904712 +03 47 08.573437032|A2/3IV/V            |  14 |   0
554|d         |        1|table:Star= HD 173158                |HD 173158                          |*  |18 43 45.3048425424 +05 44 14.622467928|K0                  |  19 |   0
555|d         |        1|table:Star= HD 173369                |HD 173369                          |*  |18 44 37.3788048624 +07 58 39.396489132|A2                  |  11 |   0
556|d         |        3|table:Star= V874 Aql                 |Case 445                           |C* |18 45 41.0747910120 +09 38 38.645103048|C                   |  14 |   0
557|d         |        1|table:Star= HD 173669                |HD 173669                          |*  |18 46 19.6439260488 +05 09 11.283219396|A0                  |  14 |   0
558|d         |        1|table:Star= G021-024                 |HD 173818                          |PM*|18 47 27.2506131351 -03 38 23.401766426|K5V                 |  89 |   0
559|d         |        2|table:Star= V CrA                    |V* V CrA                           |RC*|18 47 32.3131482 -38 09 32.324962      |R0                  | 103 |   0
560|d         |        1|table:Star= BH Tel                   |V* BH Tel                          |Mi*|18 49 31.7117192040 -49 54 29.486415024|M2Ib:ep             |  12 |   0
561|d         |        1|table:Star= HD 174240                |HD 174240                          |*  |18 49 37.1928719280 +00 50 10.306332096|A1IV                |  45 |   0
562|d         |        1|table:Star= HD 174350                |HD 174350                          |*  |18 49 50.4309849120 +06 51 49.155424992|K1III               |  16 |   0
563|d         |        1|table:Star= HD 174512                |HD 174512                          |*  |18 51 07.9760513952 -06 16 45.047626104|A0II/III            |  29 |   0
564|d         |        1|table:Star= HD 174866                |HD 174866                          |** |18 53 01.8095063952 -09 34 31.876691088|A4V                 |  41 |   0
565|d         |        3|table:Star= HD 174966                |HD 174966                          |dS*|18 53 07.8278738400 +01 45 19.691893476|A7III/IV            |  34 |   0
566|d         |        1|table:Star= HD 175058                |HD 175058                          |*  |18 53 55.9493473464 -09 22 13.124430444|A5IV                |  19 |   0
567|d         |        1|table:Star= HD 175181                |HD 175181                          |*  |18 54 27.9533694816 -05 57 27.477157248|G6/8II/III          |  10 |   0
568|d         |        1|table:Star= HD 175376                |HD 175376                          |*  |18 55 21.6601219896 -05 08 27.587733828|K3IVCNII            |   9 |   0
569|d         |        1|table:Star= HD 175545                |HD 175545                          |PM*|18 55 51.4488060720 -00 44 22.116864048|K2III               |  41 |   0
570|d         |        3|table:Star= HD 175640                |HD 175640                          |*  |18 56 22.6598858520 -01 47 59.503936200|B9IIIpHgMnEu        | 143 |   0
571|d         |        2|table:Star= HD 175805                |HD 175805                          |*  |18 56 58.0657212192 +02 27 42.076550124|F7V                 |  31 |   0
572|d         |        1|table:Star= HD 175892                |HD 175892                          |*  |18 58 24.8321012040 -22 31 46.179666372|A1V                 |  32 |   0
573|d         |        1|table:Star= HD 176301                |HD 176301                          |*  |18 58 45.0554475960 +19 47 39.817621824|B7III-IV            |  55 |   0
574|d         |        1|table:Star= HD 176698                |HD 176698                          |*  |19 01 26.9280188088 +01 17 18.809509128|K0III               |   8 |   0
575|d         |        1|table:Star= HD 176851                |HD 176851                          |*  |19 02 24.1748381808 -05 32 48.134684040|F4IVn               |  19 |   0
576|d         |        1|table:Star= HD 178287                |V* V496 Aql                        |cC*|19 08 20.7707435688 -07 26 15.879957540|F8/G0Iab/b          | 173 |   0
577|d         |        1|table:Star= HD 179315                |V* V1344 Aql                       |cC*|19 11 59.1731388720 +04 21 17.481162096|G0Ib                |  60 |   0
578|d         |        2|table:Star= HD 179870                |HD 179870                          |*  |19 13 53.5852446336 +09 01 59.608480692|K0II                |  31 |   0
579|d         |        3|table:Star= HD 179821                |HD 179821                          |pA*|19 13 58.6082398776 +00 07 31.935181836|G4_0-Ia             | 231 |   0
580|d         |        1|table:Star= HD 180086                |HD 180086                          |*  |19 15 22.2910661760 -06 02 59.150308344|F0V                 |  30 |   0
581|d         |        1|table:Star= GJ 752B                  |VB 10                              |Er*|19 16 57.6109547886 +05 09 01.600923413|M8V                 | 465 |   1
582|d         |        1|table:Star= HD 183085                |HD 183085                          |*  |19 27 41.0906781960 +04 42 34.979813784|F2V                 |  36 |   0
583|d         |        1|table:Star= CD-24 15398              |V* V440 Sgr                        |RR*|19 32 20.7825615584 -23 51 12.754574645|F0                  | 103 |   0
584|d         |        1|table:Star= HD 184266                |HD 184266                          |HB*|19 34 15.3865887336 -16 19 00.228534420|F2V                 | 115 |   0
585|d         |        1|table:Star= HD 184571                |HD 184571                          |*  |19 35 01.8072106296 +04 18 40.850733456|F5V                 |  24 |   0
586|d         |        1|table:Star= HD 185094                |HD 185094                          |*  |19 37 43.7222878464 -05 03 42.435860616|F2V                 |  28 |   0
587|d         |        2|table:Star= HD 232078                |V* V339 Sge                        |LP*|19 38 12.0696686280 +16 48 25.633514592|K3II(e)p            | 136 |   0
588|d         |        1|table:Star= HIP 96710                |CD-27 14169                        |PM*|19 39 36.1703597866 -26 45 07.072666448|M1V                 |  23 |   0
589|d         |        1|table:Star= HD 186478                |HD 186478                          |Pe*|19 45 14.1409752672 -17 29 27.071239056|K2III               | 144 |   0
590|d         |        1|table:Star= HD 187111                |HD 187111                          |Pe*|19 48 39.5744746680 -12 07 19.738101036|G8wF8III/IV         | 136 |   0
591|d         |        1|table:Star= Y Sge                    |V* Y Sge                           |Mi*|19 53 30.8717652360 +18 14 28.892889240|M4                  |  12 |   0
592|d         |        2|table:Star= NGC 6838 1078            |2MASS J19533717+1847201            |RG*|19 53 37.1777671776 +18 47 20.217789024|~                   |  22 |   0
593|d         |        2|table:Star= CL* NGC 6838 AH A9       |Cl* NGC 6838 AH A9                 |RG*|19 53 37.4728877088 +18 44 59.689600692|~                   |  49 |   0
594|d         |        2|table:Star= NGC 6838 1077            |NGC 6838 1077                      |RG*|19 53 37.5742734744 +18 47 28.603448124|~                   |  47 |   0
595|d         |        2|table:Star= NGC 6838 1075            |NGC 6838 1075                      |RG*|19 53 41.5726140216 +18 47 43.035846108|~                   |  26 |   0
596|d         |        2|table:Star= NGC 6838 1073            |NGC 6838 1073                      |RG*|19 53 42.538 +18 47 08.35              |~                   |  19 |   0
597|d         |        1|table:Star= NGC 6838 1071            |NGC 6838 1071                      |RG*|19 53 43.7320780584 +18 47 33.685161000|~                   |  28 |   0
598|d         |        3|table:Star= NGC 6838 1066            |2MASS J19534525+1846553            |AB*|19 53 45.2532361224 +18 46 55.433986176|~                   |  30 |   0
599|d         |        2|table:Star= HD 188262                |HD 188262                          |*  |19 53 45.9324220680 +16 46 41.152840500|G8II                |  35 |   0
600|x         |        1|NGC 6838                             |M 71                               |GlC|19 53 46.49 +18 46 45.1                |~                   |1083 |   0
601|d         |        2|table:Star= NGC 6838 1063            |2MASS J19534656+1847441            |AB*|19 53 46.5667655400 +18 47 44.258731800|~                   |  21 |   0
602|d         |        3|table:Star= NGC 6838 1037            |2MASS J19534802+1847086            |RG*|19 53 48.022 +18 47 08.62              |~                   |  21 |   0
603|d         |        2|table:Star= NGC 6838 1039            |2MASS J19534874+1847174            |RG*|19 53 48.7441573656 +18 47 17.470694724|~                   |  17 |   0
604|d         |        1|table:Star= NGC 6838 1009            |2MASS J19534905+1846003            |AB*|19 53 49.0521804168 +18 46 00.313651704|~                   |  28 |   0
605|d         |        1|table:Star= NGC 6838 1053            |NGC 6838 1053                      |RG*|19 53 50.6409291720 +18 49 07.531926240|~                   |  50 |   0
606|d         |        3|table:Star= CL* NGC 6838 AH A2       |Cl* NGC 6838 AH A2                 |RG*|19 53 54.1945915992 +18 45 32.700521412|~                   |  22 |   0
607|d         |        1|table:Star= HD 188510                |HD 188510                          |PM*|19 55 09.6782304000 +10 44 27.398607828|G5V:                | 244 |   0
608|d         |        1|table:Star= HD 189511                |HD 189511                          |SB*|20 00 22.0480815960 +01 41 53.559181968|K0/2II/III          |  14 |   0
609|d         |        4|table:Star= HD 190073                |HD 190073                          |Ae*|20 03 02.5098474264 +05 44 16.660712904|A2IVe               | 244 |   0
610|d         |        3|table:Star= HD 190404                |HD 190404                          |PM*|20 03 52.1269218534 +23 20 26.469023374|K1V                 | 226 |   0
611|d         |        1|table:Star= HD 190390                |V* V1401 Aql                       |pA*|20 05 05.4136151160 -11 35 57.894584100|F2II                |  98 |   0
612|d         |        1|table:Star= G024-003                 |G 24-3                             |Pe*|20 05 44.3170407024 +04 02 52.812418452|sdF8                |  88 |   0
613|d         |        1|table:Star= HD 345957                |HD 345957                          |PM*|20 10 48.1625876064 +23 57 54.510596568|G0V:                | 139 |   0
614|x*        |        1|LTT 7987                             |CD-30 17706                        |WD*|20 10 56.8486912016 -30 13 06.627142663|DA3.1               | 238 |   0
615|d         |        1|table:Star= HD 191709                |HD 191709                          |*  |20 11 18.8590818288 -00 07 35.265689076|F3/5IV              |  36 |   0
616|d         |        2|table:Star= HIP 100047               |LP 814-44                          |PM*|20 17 52.3783167544 -17 17 09.035178321|K8V                 |  22 |   0
617|d         |        1|table:Star= HD 193225                |HD 193225                          |*  |20 19 00.7012008336 +02 14 00.291117444|F0V                 |  17 |   0
618|d         |        1|table:Star= HD 193326                |HD 193326                          |*  |20 19 39.5791996752 +01 59 36.397520196|G8IV                |  16 |   0
619|dx        |        3|table:Star= HD 193281                |HD 193281                          |*  |20 20 27.8803232880 -29 11 49.972752276|A2IV-V              |  95 |   0
620|d         |        1|table:Star= V335 Aql                 |V* V335 Aql                        |Mi*|20 21 17.7810056640 +01 19 18.948051552|M1e                 |  20 |   0
621|d         |        2|table:Star= HD 193896                |HD 193896                          |*  |20 23 00.7898095776 -09 39 16.957882044|G5IIIa              |  37 |   0
622|d         |        3|table:Star= HD 194453                |HD 194453                          |*  |20 25 25.4272443216 +06 38 30.501692592|A0                  |  23 |   0
623|d         |        1|table:Star= HD 195729                |HD 195729                          |*  |20 32 56.8939646496 +02 25 38.902994940|A5IV                |  11 |   0
624|d         |        1|table:Star= HD 196125                |HD 196125                          |*  |20 35 26.9362630008 -02 03 05.500617228|F0V                 |  19 |   0
625|d         |        1|table:Star= HD 196218                |HD 196218                          |PM*|20 35 42.8713738392 +03 18 10.434787956|F7V                 |  37 |   0
626|d         |        2|table:Star= HD 196426                |HD 196426                          |*  |20 37 18.3814212168 +00 05 49.053778404|B8IIIpec            |  82 |   0
627|d         |        2|table:Star= HD 196892                |HD 196892                          |PM*|20 40 49.3802982816 -18 47 33.282293972|F6V                 | 119 |   0
628|d         |        1|table:Star= CD-30 18140              |CD-30 18140                        |PM*|20 44 06.2872647830 -30 00 07.597192977|F8                  |  85 |   0
629|d         |        1|table:Star= BPS CS 30336-049         |BPS CS 30336-0049                  |Pe*|20 45 23.5333400256 -28 42 35.912310048|~                   |  31 |   0
630|d         |        3|table:Star= HD 198140                |HD 198140                          |C* |20 48 56.8366627200 -19 01 09.057985860|R1                  |  26 |   0
631|d         |        1|table:Star= HIP 103039               |LP 816-60                          |PM*|20 52 33.0166041464 -16 58 29.003281943|M4V                 |  90 |   0
632|d         |        1|table:Star= BD-14 5890               |HD 358059                          |Pe*|20 56 09.1348060632 -13 31 17.690158776|G0                  |  57 |   0
633|d         |        2|table:Star= HD 200081                |HD 200081                          |*  |21 01 22.4172305184 -02 30 50.438298348|G5V                 |  38 |   0
634|d         |        1|table:Star= HD 200494                |HD 200494                          |PM*|21 03 39.2748820224 +02 55 36.390742788|K1III               |  21 |   0
635|d         |        1|table:Star= HD 200779                |HD 200779                          |PM*|21 05 19.7460464579 +07 04 09.472937911|K6V                 | 141 |   0
636|d         |        1|table:Star= CD-62 1346               |CD-62 1346                         |Pe*|21 06 02.9219229360 -61 33 44.645403600|CEMP-s              |  58 |   0
637|d         |        1|table:Star= HD 201053                |HD 201053                          |PM*|21 07 04.8942521064 +05 26 36.005658324|K0                  |   9 |   0
638|d         |        3|table:Star= HD 201237                |HD 201237                          |PM*|21 08 41.6961978936 -19 59 41.420822640|K2(III)             |  20 |   0
639|d         |        1|table:Star= HD 201377                |HD 201377                          |PM*|21 09 16.0076892288 -00 14 05.730122688|A3III/IV            |  21 |   0
640|d         |        2|table:Star= HD 201626                |HD 201626                          |Pe*|21 09 59.2755833184 +26 36 55.001033532|C-H2IV:             | 147 |   0
641|d         |        2|table:Star= HD 202851                |HD 202851                          |Pe*|21 18 43.4865826992 -01 32 03.344479584|C3,1_CH4_Ba3        |  36 |   0
642|d         |        1|table:Star= G187-40                  |BD+26 4136                         |PM*|21 21 57.7460040024 +27 27 10.385460252|sdG0                |  42 |   0
643|d         |        2|table:Star= HD 204041                |HD 204041                          |PM*|21 25 51.5848015320 +00 32 03.634403820|A1Vb                | 100 |   0
644|d         |        2|table:Star= HD 204155                |HD 204155                          |PM*|21 26 42.9050916792 +05 26 29.902289568|F7V                 | 124 |   0
645|d         |        1|table:Star= HD 204543                |HD 204543                          |*  |21 29 28.2126852216 -03 30 55.353564216|F6/8(V)             | 131 |   0
646|d         |        2|table:Star= HD 204587                |HD 204587                          |PM*|21 30 02.7560054580 -12 30 36.245166319|K7Vk:               | 111 |   0
647|d         |        1|table:Star= NGC 7078 1079            |2MASS J21301565+1208229            |RG*|21 30 15.6564387408 +12 08 22.999502976|~                   |  33 |   0
648|d         |        2|table:Star= HD 205202                |HD 205202                          |PM*|21 33 02.8373315616 +30 21 35.075006208|F5                  |  38 |   0
649|d         |        1|table:Star= HD 205555                |HD 205555                          |Pu*|21 35 58.8958508856 +06 04 26.216064300|F0                  |  11 |   0
650|d         |        3|table:Star= HD 205734                |HD 205734                          |*  |21 37 14.0867765472 +05 51 05.079150612|F0                  |   9 |   0
651|d         |        1|table:Star= G188-22                  |BD+26 4251                         |PM*|21 43 57.1238515464 +27 23 23.989925868|F6                  |  82 |   0
652|d         |        1|table:Star= BD-09 5831               |BD-09 5831                         |*  |21 45 30.5221325592 -08 24 35.246336040|KIIvw               |  53 |   0
653|d         |        3|table:Star= HD 207222                |HD 207222                          |*  |21 46 56.2577808744 +21 17 50.750939004|A0                  |  25 |   0
654|d         |        1|table:Star= HD 207795                |HD 207795                          |PM*|21 51 39.4340806706 +00 50 57.867791585|K0V                 |  63 |   0
655|d         |        2|table:Star= HD 209290                |HD 209290                          |PM*|22 02 10.2750978279 +01 24 00.832158070|M0.5V               | 221 |   0
656|d         |        1|table:Star= DG Peg                   |V* DG Peg                          |Mi*|22 03 33.9239788944 +14 00 31.220515620|M4e                 |  23 |   0
657|d         |        1|table:Star= HD 210295                |HD 210295                          |PM*|22 09 41.4458512176 -13 36 19.475979192|Gwl                 |  84 |   0
658|dx*       |        4|table:Star= BD+17 4708               |BD+17 4708                         |SB*|22 11 31.3756832854 +18 05 34.177983548|sdF8                | 557 |   0
659|d         |        1|table:Star= HD 211075                |HD 211075                          |*  |22 14 20.0388786240 +18 01 13.371827736|K2                  |  30 |   0
660|d         |        1|table:Star= G018-039                 |BD+07 4841                         |PM*|22 18 36.5059714907 +08 26 44.962089682|G0                  | 108 |   0
661|d         |        1|table:Star= HD 212516                |V* PX Peg                          |LP?|22 24 34.4356296096 +16 09 00.474173064|K5                  |  17 |   0
662|d         |        1|table:Star= 2MASS J22244381-0158521  |2MASSW J2224438-015852             |BD*|22 24 43.8544128559 -01 58 53.284975671|L4.5V               | 118 |   0
663|d         |        1|table:Star= HD 213042                |HD 213042                          |PM*|22 29 15.2363920289 -30 01 06.263701071|K4V                 | 146 |   0
664|d         |        1|table:Star= HD 214080                |HD 214080                          |V* |22 36 06.4357076856 -16 23 16.760720868|B1/2Ib              | 135 |   0
665|d         |        1|table:Star= GJ 866                   |V* EZ Aqr                          |Er*|22 38 33.576000 -15 17 59.75700        |M5V                 | 295 |   1
666|d         |        3|table:Star= HD 215578                |HD 215578                          |*  |22 45 58.4105851008 +19 15 00.928413468|K0                  |  31 |   0
667|d         |        1|table:Star= HD 216143                |HD 216143                          |Pe*|22 50 31.0883724288 -06 54 49.554279360|G2/3(IV)(we)        | 134 |   0
668|d         |        2|table:Star= HD 216219                |HD 216219                          |Pe*|22 50 52.1530053936 +18 00 07.703208072|G1II-III:Fe-1CH0.5  | 113 |   0
669|d         |        1|table:Star= HD 217357                |HD 217357                          |PM*|23 00 16.1221501260 -22 31 27.649676482|K7+Vk               | 168 |   0
670|d         |        2|table:Star= HD 217877                |HD 217877                          |PM*|23 03 57.2733595505 -04 47 41.501076410|G0-V                | 125 |   0
671|d         |        1|table:Star= HD 218502                |HD 218502                          |PM*|23 08 39.3724933569 -15 03 11.944919751|F(3)w               |  94 |   0
672|d         |        2|table:Star= HD 218566                |HD 218566                          |PM*|23 09 10.7269903047 -02 15 38.682667763|K3V                 |  98 |   1
673|d         |        1|table:Star= HD 218857                |HD 218857                          |PM*|23 11 24.5948299440 -16 15 04.026507912|G5/8w(a)            | 107 |   0
674|d         |        1|table:Star= G029-023                 |BD+02 4651                         |PM*|23 19 40.4500387773 +03 22 16.694733495|sdF6                | 107 |   0
675|dx*       |        5|table:Star= Feige 110                |Feige 110                          |HS*|23 19 58.3996844256 -05 09 56.171142864|sdO8VIIIHe5         | 610 |   1
676|d         |        1|table:Star= HD 220662                |HD 220662                          |Pe*|23 25 41.6302515288 -23 56 20.690248524|F8/G3               |  47 |   0
677|d         |        1|table:Star= HD 220838                |HD 220838                          |*  |23 27 16.4821789104 -26 58 58.175202936|G6/8(III)w          |  53 |   0
678|d         |        1|table:Star= HD 221170                |HD 221170                          |Pe*|23 29 28.8087143040 +30 25 57.849303180|CEMP-r              | 276 |   0
679|d         |        1|table:Star= HD 221149                |HD 221149                          |*  |23 29 36.3442861776 -06 50 08.715297336|G1/2V               |  30 |   0
680|dx        |        2|table:Star= BD+19 5116B              |BD+19 5116B                        |Er*|23 31 52.5753377942 +19 56 14.005026315|M4.0Ve              | 194 |   0
